"filename", "language", "PHP", "XML", "comment", "blank", "total"
"c:\laragon\www\facturafacil\app\Console\Commands\CheckSummaryStatus.php", "PHP", 31, 0, 0, 9, 40
"c:\laragon\www\facturafacil\app\Console\Commands\DownloadSunatPadron.php", "PHP", 53, 0, 0, 11, 64
"c:\laragon\www\facturafacil\app\Console\Commands\FixHoraEmision.php", "PHP", 19, 0, 0, 6, 25
"c:\laragon\www\facturafacil\app\Console\Commands\PrintProcessQueue.php", "PHP", 14, 0, 0, 5, 19
"c:\laragon\www\facturafacil\app\Console\Commands\ProcessPrintQueue.php", "PHP", 17, 0, 1, 7, 25
"c:\laragon\www\facturafacil\app\Console\Commands\RetryPendingInvoices.php", "PHP", 50, 0, 0, 14, 64
"c:\laragon\www\facturafacil\app\Console\Commands\SendDailySummary.php", "PHP", 21, 0, 0, 7, 28
"c:\laragon\www\facturafacil\app\Console\Kernel.php", "PHP", 18, 0, 3, 7, 28
"c:\laragon\www\facturafacil\app\CoreFacturalo\Documents\DocumentBuilder.php", "PHP", 14, 0, 0, 5, 19
"c:\laragon\www\facturafacil\app\CoreFacturalo\Documents\InvoiceBuilder.php", "PHP", 13, 0, 0, 4, 17
"c:\laragon\www\facturafacil\app\CoreFacturalo\Documents\NoteBuilder.php", "PHP", 13, 0, 0, 4, 17
"c:\laragon\www\facturafacil\app\CoreFacturalo\Documents\SummaryBuilder.php", "PHP", 15, 0, 0, 5, 20
"c:\laragon\www\facturafacil\app\CoreFacturalo\Documents\VoidedBuilder.php", "PHP", 15, 0, 0, 5, 20
"c:\laragon\www\facturafacil\app\CoreFacturalo\Facturalo.php", "PHP", 228, 0, 6, 34, 268
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\Certificate\GenerateCertificate.php", "PHP", 12, 0, 0, 2, 14
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\Number\NumberLetter.php", "PHP", 133, 0, 6, 19, 158
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\QrCode\QrCodeGenerate.php", "PHP", 14, 0, 0, 5, 19
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\Storage\StorageDocument.php", "PHP", 42, 0, 0, 7, 49
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\Xml\XmlFormat.php", "PHP", 15, 0, 0, 2, 17
"c:\laragon\www\facturafacil\app\CoreFacturalo\Helpers\Xml\XmlHash.php", "PHP", 48, 0, 25, 2, 75
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Cpe\ConsultCdrService.php", "PHP", 67, 0, 0, 12, 79
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Dni\Dni.php", "PHP", 14, 0, 0, 4, 18
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Dni\Essalud.php", "PHP", 50, 0, 0, 6, 56
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Dni\Jne.php", "PHP", 45, 0, 0, 6, 51
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Dni\Reniec.php", "PHP", 144, 0, 51, 38, 233
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Extras\ValidateCpe.php", "PHP", 77, 0, 0, 10, 87
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Helpers\CaptchaCodes.php", "PHP", 52, 0, 7, 5, 64
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Helpers\Functions.php", "PHP", 24, 0, 0, 2, 26
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Helpers\HtmlParser.php", "PHP", 95, 0, 13, 23, 131
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Helpers\Http\ClientInterface.php", "PHP", 7, 0, 20, 4, 31
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Helpers\Http\ContextClient.php", "PHP", 64, 0, 34, 17, 115
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Models\Company.php", "PHP", 5, 0, 0, 2, 7
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Models\Person.php", "PHP", 14, 0, 0, 3, 17
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Ruc\ExchangeRate.php", "PHP", 154, 0, 26, 12, 192
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Ruc\Sunat.php", "PHP", 153, 0, 30, 38, 221
"c:\laragon\www\facturafacil\app\CoreFacturalo\Services\Ruc\UserValidator.php", "PHP", 32, 0, 18, 11, 61
"c:\laragon\www\facturafacil\app\CoreFacturalo\Template.php", "PHP", 21, 0, 0, 4, 25
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\FunctionTribute.php", "PHP", 42, 0, 0, 5, 47
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\pdf\invoice.blade.php", "PHP", 319, 0, 5, 0, 324
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\pdf\note.blade.php", "PHP", 352, 0, 5, 0, 357
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\xml\credit.blade.php", "PHP", 351, 0, 0, 0, 351
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\xml\debit.blade.php", "PHP", 351, 0, 0, 0, 351
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\xml\invoice.blade.php", "PHP", 448, 0, 0, 0, 448
"c:\laragon\www\facturafacil\app\CoreFacturalo\Templates\xml\summary.blade.php", "PHP", 174, 0, 0, 0, 174
